id,neighbourhood_group_cleansed,name,host_id,host_name,host_is_superhost,calculated_host_listings_count,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
320506,Sants-Montjuïc,The Loft Barcelona,1642180,The Loft,f,1,41.37195,2.16936,1,1,1,1,71,4.74,2,0,139.0,Economic,1.719131462204033,1-2 km
323854,Eixample,Casa Sagrada Familia Bcn Doubleroom,1657312,Alberto,f,1,41.40843,2.17494,1,0,1,0,21,4.56,1,0,239.0,Luxury,2.3974798772080796,2-3 km
75003,Eixample,130. Hércules Pequeño 41,396363,Alcam Apartments,f,66,41.40399,2.17802,1,1,0,1,46,4.16,2,1,94.0,Low-Cost,2.0050999062746517,2-3 km
330723,Ciutat Vella,SUNNY ROOM WITH BALCONY,1687383,Morpheus Stays X JuanMi,t,2,41.37571,2.17118,1,0,1,0,54,4.52,1,0,21.0,Low-Cost,1.3175710152075262,1-2 km
75411,Sant Martí,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,f,9,41.40682,2.18649,1,1,0,1,98,4.44,2,1,182.0,Economic,2.6248481394673795,2-3 km
80004,Sants-Montjuïc,Parc Montjuic HUTB-004026 58,431839,Xavier,t,1,41.37371,2.16706,1,1,1,1,184,4.65,2,1,189.0,Economic,1.527671476250033,1-2 km
330745,Sant Martí,Hi-Tech BEACHFRONT Apt w/ sea view!,768692,Robert,f,1,41.38777,2.19601,1,0,1,1,17,4.62,2,1,220.0,Luxury,2.2870349952466733,2-3 km
83283,Eixample,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,f,1,41.38237,2.16146,0,0,1,0,126,4.39,1,0,93.0,Low-Cost,0.8171031244413741,<1 km
330766,Eixample,Urquinaona tranquilo y céntrico,1687524,Virginia,t,2,41.39076,2.17503,1,0,1,1,268,4.88,2,0,160.0,Economic,0.6536976821260622,<1 km
89756,Ciutat Vella,bcn-rentals ramblas 9; right in the city centre,488117,David Y Maria,t,6,41.37861,2.16737,1,1,1,0,25,4.72,2,1,370.0,Luxury,0.9827757344843148,<1 km
89776,Eixample,Modernist aparment in the heart of the city,3556337,Alejandro,t,61,41.39224,2.17806,1,0,1,1,375,4.79,2,0,194.0,Economic,0.9552110862762189,<1 km
330957,Eixample,Central 3 bedroom beautiful APT,893805,Phil And Fiona,t,13,41.39782414629114,2.170576755958843,1,1,1,0,615,4.77,2,1,251.0,Luxury,1.1707826860320243,1-2 km
95719,Ciutat Vella,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,f,2,41.38496,2.17982,0,0,0,1,256,4.75,1,0,90.0,Low-Cost,0.974570879403105,<1 km
331026,Eixample,Small basic room in a nice shared  apt,440881,Lee,f,1,41.37793,2.15978,1,1,1,0,282,4.65,1,0,41.0,Low-Cost,1.2846524418016658,1-2 km
333190,Eixample,Super location! by months,1697782,Joel,t,2,41.40131,2.18191,0,0,1,0,281,4.81,1,0,63.0,Low-Cost,1.9039521186310844,1-2 km
110041,Gràcia,002. Alió 2 Apartment,396363,Alcam Apartments,f,66,41.40271,2.16646,1,1,0,1,61,4.15,2,0,94.0,Low-Cost,1.7117276368162142,1-2 km
112538,Eixample,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,f,19,41.40653,2.1746,1,1,1,1,125,4.41,2,1,588.0,Luxury,2.185241415621266,2-3 km
335861,Sant Martí,Modern Flat,1221038,Mar,f,3,41.40349,2.20414,1,1,0,0,114,4.17,2,1,193.0,Economic,3.4625878309116596,3-5 km
117010,Eixample,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,f,19,41.40647,2.17457,1,0,1,1,52,4.58,2,1,516.0,Luxury,2.1781741859504926,2-3 km
118228,Eixample,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,f,19,41.40653,2.1746,1,1,1,1,60,4.6,2,1,534.0,Luxury,2.185241415621266,2-3 km
337755,Sant Martí,SEALONA VILA OLIMPICA BEACH,1716315,Marc,t,12,41.39253234863281,2.19325590133667,1,1,1,1,65,4.63,2,0,249.0,Luxury,2.134534934324106,2-3 km
128463,Sants-Montjuïc,Private Suite in residential area!!,635253,Sebastian,t,1,41.37155,2.13664,1,1,0,0,423,4.85,2,0,117.0,Economic,3.1963785368442377,3-5 km
135513,Sant Martí,Apartamento Poble Nou y Playa,664196,Teresa,f,1,41.39787,2.20429,1,1,1,0,133,4.66,2,1,196.0,Economic,3.196722858394804,3-5 km
339310,Ciutat Vella,Beachfront / Sea View/ WIFI / AirCon,829041,Myra,f,1,41.37732,2.19049,1,0,0,1,78,4.9,2,0,120.0,Economic,2.142824322476624,2-3 km
