neighbourhood_group_cleansed,host_is_superhost,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
Tetuán,f,40.467,-3.70441,1,0,0,1,4.17,2,0,146.0,Luxury,5.590614892368299,5-10 km
Centro,f,40.41825,-3.7067,1,0,0,1,0.0,1,0,48.0,Low-Cost,0.33100307527689427,<1 km
Centro,f,40.41145,-3.70824,1,0,1,1,5.0,1,0,157.0,Luxury,0.7188394481252556,<1 km
Arganzuela,f,40.40345,-3.68919,1,0,1,1,0.0,2,1,141.0,Economic,1.9013935213538415,1-2 km
Centro,f,40.42833,-3.70418,1,0,1,1,0.0,2,0,157.0,Luxury,1.2919353152820579,1-2 km
Centro,f,40.41091517225615,-3.7078602612018585,1,0,0,0,0.0,1,0,20.0,Low-Cost,0.7512923390478093,<1 km
Salamanca,f,40.43431,-3.68608,0,0,1,1,4.5,1,0,177.0,Luxury,2.4404924909420367,2-3 km
Arganzuela,f,40.40404,-3.69289,1,0,0,0,4.0,1,0,141.0,Economic,1.665364557020885,1-2 km
Centro,f,40.42833,-3.70596,1,0,1,1,0.0,1,0,157.0,Luxury,1.3089136306211309,1-2 km
Arganzuela,f,40.40044,-3.69247,1,0,1,0,0.0,0,0,141.0,Economic,2.0316302757603784,2-3 km
Centro,f,40.4159033,-3.7078535,1,0,0,1,4.17,2,1,174.0,Luxury,0.3930650577153388,<1 km
San Blas - Canillejas,f,40.44752,-3.61102,1,0,1,0,5.0,1,0,126.0,Economic,8.530965605709456,5-10 km
Centro,f,40.4099721580656,-3.703735484123959,1,0,0,1,5.0,2,0,158.0,Luxury,0.7520760188147245,<1 km
Tetuán,f,40.457,-3.6925,1,0,1,0,0.0,1,0,146.0,Luxury,4.570926438193637,3-5 km
Centro,f,40.41400873507359,-3.705259883992854,1,0,0,0,0.0,1,0,20.0,Low-Cost,0.34342362372945057,<1 km
Retiro,f,40.41932,-3.67804,1,0,1,1,0.0,2,0,122.0,Economic,2.161016515380127,2-3 km
Centro,f,40.42342,-3.7056,1,0,0,1,0.0,2,0,900.0,Luxury,0.7682309277193212,<1 km
Arganzuela,f,40.40236,-3.70995,1,0,1,0,0.0,1,0,141.0,Economic,1.6929677294807954,1-2 km
Usera,f,40.38679,-3.71237,1,0,0,0,0.0,2,1,74.0,Low-Cost,3.4157673354888765,3-5 km
Centro,f,40.40949,-3.70759,0,0,0,1,0.0,2,1,157.0,Luxury,0.8817354281882379,<1 km
Carabanchel,f,40.365,-3.7588,0,0,1,0,5.0,1,0,82.0,Low-Cost,7.4261442053088835,5-10 km
Centro,f,40.41509,-3.69701,1,0,1,1,0.0,2,0,157.0,Luxury,0.5659546636089338,<1 km
Puente de Vallecas,f,40.38067,-3.6496,1,0,1,0,4.25,1,0,112.0,Economic,6.065084307360032,5-10 km
Centro,f,40.423637402755475,-3.70406725932518,1,0,0,1,0.0,1,0,50.0,Low-Cost,0.7706492118102787,<1 km
Carabanchel,f,40.39299,-3.71078,1,0,1,0,0.0,1,0,82.0,Low-Cost,2.713807610204752,2-3 km
Centro,f,40.40929,-3.70107,1,0,0,0,0.0,2,0,157.0,Luxury,0.8491923171651646,<1 km
Centro,t,40.41315,-3.70639,1,0,1,0,5.0,1,0,157.0,Luxury,0.47444258189522465,<1 km
Latina,f,40.40993,-3.72286,1,0,1,0,5.0,2,1,70.0,Low-Cost,1.817404526831971,1-2 km
Centro,f,40.41662,-3.7104,1,0,0,1,0.0,2,0,130.0,Economic,0.5978945461462459,<1 km
Usera,f,40.37273,-3.71509,1,0,0,0,0.0,1,0,74.0,Low-Cost,4.992647506471432,3-5 km
Hortaleza,f,40.47287,-3.6525,1,0,0,0,4.0,2,1,143.0,Luxury,7.581450015582575,5-10 km
Salamanca,f,40.4241,-3.68986,1,0,0,1,0.0,2,0,177.0,Luxury,1.4049043927774079,1-2 km
Centro,f,40.42725,-3.70603,1,0,0,0,0.0,1,0,157.0,Luxury,1.191853630406144,1-2 km
Fuencarral - El Pardo,f,40.48032,-3.71766,0,0,0,0,0.0,1,0,95.0,Economic,7.174084665357378,5-10 km
Centro,f,40.42888,-3.70942,1,0,0,0,0.0,2,1,157.0,Luxury,1.445866052490345,1-2 km
Villaverde,f,40.34242,-3.71185,1,0,0,0,0.0,1,0,72.0,Low-Cost,8.294174238545187,5-10 km
Tetuán,f,40.45594,-3.69787,1,0,1,0,0.0,2,1,146.0,Luxury,4.384563858543991,3-5 km
Centro,f,40.42675,-3.71063,1,0,1,1,0.0,2,0,157.0,Luxury,1.273797976215439,1-2 km
Arganzuela,f,40.40197,-3.69144,1,0,1,1,5.0,1,0,141.0,Economic,1.9256857257319069,1-2 km
Chamberí,f,40.44561,-3.70249,1,0,1,0,4.0,1,0,128.0,Economic,3.2122245446980893,3-5 km
Villaverde,f,40.35592,-3.69183,1,0,0,0,0.0,1,0,72.0,Low-Cost,6.831553234808509,5-10 km
Arganzuela,f,40.3962,-3.69586,1,0,1,0,0.0,1,0,141.0,Economic,2.3689291474805936,2-3 km
Centro,f,40.41784,-3.71139,1,0,1,1,4.67,2,0,157.0,Luxury,0.6926824173518624,<1 km
Centro,f,40.42097137683257,-3.703593673044428,1,0,0,0,4.67,1,0,75.0,Low-Cost,0.4722231889361484,<1 km
Villaverde,f,40.35556,-3.68095,1,0,1,0,0.0,2,0,72.0,Low-Cost,7.061071681074689,5-10 km
Puente de Vallecas,f,40.38141,-3.65699,1,0,0,1,5.0,2,0,112.0,Economic,5.552304315404577,5-10 km
Centro,f,40.42572,-3.70327,1,0,1,1,4.67,2,0,157.0,Luxury,0.9997706482900403,<1 km
Centro,f,40.42787,-3.70574,1,0,0,0,0.0,1,0,157.0,Luxury,1.2553848525301368,1-2 km
San Blas - Canillejas,f,40.44349,-3.58368,1,0,1,1,0.0,2,0,126.0,Economic,10.556182932753163,>10 km
Moncloa - Aravaca,f,40.43004,-3.71699,1,0,1,1,0.0,1,1,121.0,Economic,1.877777309156228,1-2 km
Centro,f,40.415720987,-3.709799647,0,0,0,0,0.0,2,1,85.0,Economic,0.5583172318706657,<1 km
Centro,f,40.41527,-3.70613,0,0,1,1,4.85,0,0,500.0,Luxury,0.2866174261011277,<1 km
Centro,f,40.41082,-3.70526,1,0,1,0,0.0,1,0,157.0,Luxury,0.6768796577610285,<1 km
Centro,f,40.4214,-3.69964,1,0,0,0,4.0,2,0,64.0,Low-Cost,0.6064849212055023,<1 km
Chamartín,f,40.47245,-3.67821,1,0,1,1,0.0,1,1,129.0,Economic,6.550653206747993,5-10 km
Salamanca,f,40.43635,-3.68123,1,0,1,0,4.6,1,0,177.0,Luxury,2.8744257236088546,2-3 km
Tetuán,f,40.4477,-3.70329,1,0,1,1,4.75,1,0,146.0,Luxury,3.443820570343515,3-5 km
Arganzuela,f,40.39467,-3.69358,1,0,1,0,5.0,1,0,141.0,Economic,2.5882934481850572,2-3 km
Moncloa - Aravaca,f,40.42437,-3.71206,1,0,0,0,4.0,1,0,121.0,Economic,1.1255751241597352,1-2 km
San Blas - Canillejas,f,40.43598,-3.60904,0,0,1,0,0.0,1,0,126.0,Economic,8.26408670198957,5-10 km
Centro,f,40.41888,-3.7078,1,0,0,1,0.0,1,0,35.0,Low-Cost,0.44702319065353985,<1 km
Carabanchel,f,40.369,-3.75432,0,0,0,1,4.36,1,0,82.0,Low-Cost,6.841586644966145,5-10 km
Carabanchel,f,40.38937,-3.74211,1,0,0,0,0.0,1,0,82.0,Low-Cost,4.47578157122171,3-5 km
Centro,f,40.409,-3.69796,1,0,0,0,0.0,1,0,157.0,Luxury,0.9726271831851582,<1 km
Tetuán,f,40.45676,-3.7049,1,0,0,0,0.0,1,0,146.0,Luxury,4.453204206588098,3-5 km
Centro,f,40.4099,-3.6968,0,0,0,1,4.23,1,0,65.0,Low-Cost,0.9397309104940927,<1 km
Centro,f,40.42303596861137,-3.706398852461156,0,0,0,0,0.0,1,0,64.0,Low-Cost,0.7476108327215675,<1 km
Centro,f,40.42151,-3.71107,1,0,0,0,5.0,1,0,157.0,Luxury,0.8431799959008223,<1 km
Centro,f,40.42169,-3.69945,0,0,0,1,4.0,1,0,158.0,Luxury,0.6424115273352193,<1 km
Puente de Vallecas,f,40.38789,-3.64395,0,0,0,1,0.0,1,0,112.0,Economic,5.9642669645558275,5-10 km
Centro,f,40.40828,-3.70557,1,0,0,1,4.81,1,0,157.0,Luxury,0.9582854795780253,<1 km
Retiro,f,40.42069,-3.67581,1,0,0,0,0.0,1,0,122.0,Economic,2.3717405691200173,2-3 km
Latina,f,40.39675,-3.77188,0,0,0,0,0.0,1,0,70.0,Low-Cost,6.214094898015525,5-10 km
Tetuán,f,40.46036,-3.7054,1,0,0,0,4.78,1,0,146.0,Luxury,4.854680294292375,3-5 km
Villaverde,f,40.34318,-3.68543,1,0,0,0,0.0,1,0,72.0,Low-Cost,8.317775743986221,5-10 km
Hortaleza,f,40.4759,-3.62837,1,0,0,1,0.0,2,1,143.0,Luxury,9.13978365775839,5-10 km
Latina,f,40.39537,-3.76935,0,0,0,1,4.57,1,0,70.0,Low-Cost,6.072928887247584,5-10 km
Villaverde,f,40.34142,-3.68539,1,0,0,0,4.67,1,0,72.0,Low-Cost,8.51087960704117,5-10 km
Salamanca,f,40.43115,-3.67851,1,0,1,1,0.0,1,1,177.0,Luxury,2.6436164969552434,2-3 km
San Blas - Canillejas,f,40.43848,-3.61177,0,0,1,0,0.0,1,0,126.0,Economic,8.119400395306524,5-10 km
Fuencarral - El Pardo,f,40.47222,-3.71791,1,0,1,1,0.0,2,1,95.0,Economic,6.292314359550273,5-10 km
Chamberí,f,40.43012,-3.71064,1,0,0,1,0.0,1,0,128.0,Economic,1.6121763876880464,1-2 km
Chamberí,t,40.4358025697224,-3.714382722973823,1,0,1,0,4.64,1,0,128.0,Economic,2.317761177725334,2-3 km
Salamanca,f,40.43572,-3.68043,1,0,1,1,0.0,2,1,177.0,Luxury,2.8669896532968657,2-3 km
Puente de Vallecas,f,40.39797,-3.65828,1,0,0,0,0.0,1,0,112.0,Economic,4.3481398559980615,3-5 km
Moncloa - Aravaca,f,40.4303,-3.71758,1,0,1,0,0.0,1,0,121.0,Economic,1.9314189083089255,1-2 km
Latina,f,40.39831,-3.73845,1,0,0,0,0.0,1,1,70.0,Low-Cost,3.6100530753502387,3-5 km
San Blas - Canillejas,f,40.43069,-3.62837,1,0,1,1,0.0,1,1,126.0,Economic,6.533194455409807,5-10 km
San Blas - Canillejas,f,40.43819,-3.60716,1,0,0,0,0.0,1,0,126.0,Economic,8.483582398961582,5-10 km
Centro,f,40.41381,-3.70274,1,0,1,1,4.42,2,1,253.0,Luxury,0.3285156181567283,<1 km
Hortaleza,f,40.45961,-3.64781,1,0,1,1,0.0,2,0,143.0,Luxury,6.694803784863773,5-10 km
Villaverde,f,40.35627,-3.68376,0,0,0,0,0.0,1,0,72.0,Low-Cost,6.9242328128975705,5-10 km
Centro,f,40.41515,-3.70761,1,0,0,0,0.0,1,0,157.0,Luxury,0.40195364107198583,<1 km
Centro,f,40.41751,-3.71004,1,0,0,1,5.0,2,0,120.0,Economic,0.573899640789437,<1 km
Latina,f,40.39687,-3.77302,1,0,0,0,0.0,1,0,70.0,Low-Cost,6.299640216375773,5-10 km
Chamartín,f,40.44985,-3.6684,1,0,1,0,5.0,1,0,129.0,Economic,4.723171764766496,3-5 km
Centro,f,40.4133196,-3.7049957,1,0,0,0,0.0,1,1,18.0,Low-Cost,0.4042212362283727,<1 km
Centro,f,40.42599,-3.70374,0,0,0,0,4.56,1,1,157.0,Luxury,1.0303355554644966,1-2 km
Centro,f,40.42602,-3.7051,1,0,0,0,4.58,2,1,157.0,Luxury,1.0438118643551837,1-2 km
Tetuán,f,40.4671,-3.69702,1,0,0,0,5.0,1,0,146.0,Luxury,5.626469537379872,5-10 km
Vicálvaro,f,40.40377,-3.60052,1,0,0,0,0.0,2,0,66.0,Low-Cost,8.823759269880231,5-10 km
Chamartín,f,40.44087,-3.67331,1,0,0,0,0.0,2,0,129.0,Economic,3.6967865177465478,3-5 km
San Blas - Canillejas,f,40.42562,-3.6049,0,0,1,0,0.0,1,1,126.0,Economic,8.391553054406705,5-10 km
San Blas - Canillejas,f,40.43668,-3.61959,0,0,1,1,0.0,1,0,126.0,Economic,7.428001840122622,5-10 km
Centro,f,40.408342061187675,-3.709891841802986,1,0,0,0,0.0,2,0,93.0,Economic,1.0851278352987057,1-2 km
Hortaleza,f,40.4711,-3.65518,1,0,0,0,0.0,1,0,143.0,Luxury,7.29111528454964,5-10 km
Ciudad Lineal,f,40.43085,-3.64057,1,0,0,1,0.0,1,1,99.0,Economic,5.540501844405069,5-10 km
San Blas - Canillejas,f,40.4395,-3.63327,0,0,1,0,0.0,1,0,126.0,Economic,6.448782097077302,5-10 km
Moratalaz,f,40.40614,-3.63642,1,0,1,0,0.0,1,0,72.0,Low-Cost,5.786739313121433,5-10 km
Chamberí,f,40.43157,-3.70764,1,0,0,1,0.0,1,0,128.0,Economic,1.6899275790063304,1-2 km
San Blas - Canillejas,f,40.43879,-3.61425,1,0,1,0,0.0,2,1,126.0,Economic,7.929837495736275,5-10 km
Puente de Vallecas,f,40.38703,-3.64496,1,0,1,0,0.0,2,1,112.0,Economic,5.944947085960971,5-10 km
Moratalaz,f,40.41016,-3.65103,1,0,0,0,0.0,1,0,72.0,Low-Cost,4.488433309290194,3-5 km
Arganzuela,f,40.3966,-3.69431,0,0,1,1,4.17,1,0,141.0,Economic,2.365201780705454,2-3 km
Tetuán,f,40.44905,-3.69865,1,0,1,0,0.0,1,1,146.0,Luxury,3.6157772073065533,3-5 km
Centro,f,40.4213027,-3.6980777,0,0,0,0,0.0,0,0,130.0,Economic,0.6760355153023587,<1 km
Salamanca,f,40.4281,-3.67308,1,0,0,0,5.0,1,0,177.0,Luxury,2.8565276281620884,2-3 km
Arganzuela,f,40.40367,-3.70387,0,0,0,0,4.64,1,1,141.0,Economic,1.4527903430796685,1-2 km
Salamanca,f,40.43678,-3.68376,0,0,0,0,0.0,1,0,177.0,Luxury,2.778046096637449,2-3 km
San Blas - Canillejas,f,40.42383,-3.62498,1,0,1,0,0.0,1,1,126.0,Economic,6.680206619638546,5-10 km
San Blas - Canillejas,f,40.42966,-3.6247,0,0,1,1,0.0,1,0,126.0,Economic,6.810310497817936,5-10 km
Chamberí,f,40.43923,-3.6944,0,0,1,0,0.0,1,0,128.0,Economic,2.613901711850991,2-3 km
Centro,f,40.412301298669675,-3.705883121834443,1,1,0,0,4.5,1,0,40.0,Low-Cost,0.5373904621513641,<1 km
Ciudad Lineal,f,40.43118,-3.65922,1,0,1,0,5.0,1,0,99.0,Economic,4.065652563473471,3-5 km
Centro,f,40.410489497883454,-3.7148757303471727,1,0,0,0,0.0,2,1,207.0,Luxury,1.1980603782296804,1-2 km
Carabanchel,f,40.36214,-3.76173,1,0,0,0,4.2,1,1,45.0,Low-Cost,7.8294902215484825,5-10 km
San Blas - Canillejas,f,40.42543,-3.60688,1,0,1,1,0.0,1,0,126.0,Economic,8.22263080703011,5-10 km
Usera,f,40.38209,-3.70588,1,0,0,1,5.0,2,0,74.0,Low-Cost,3.8576865976679766,3-5 km
Centro,f,40.42599,-3.70513,1,0,0,1,0.0,2,0,157.0,Luxury,1.0408772009262868,1-2 km
Centro,f,40.41899,-3.70061,1,0,0,0,0.0,2,0,157.0,Luxury,0.34144090534091415,<1 km
Centro,f,40.40877,-3.70638,1,0,0,0,0.0,2,0,157.0,Luxury,0.9216896102967774,<1 km
Centro,f,40.422699785156254,-3.7050664194720433,1,0,0,1,0.0,2,1,157.0,Luxury,0.6798348309728307,<1 km
Moncloa - Aravaca,f,40.43207,-3.72001,1,1,0,1,5.0,2,0,121.0,Economic,2.213890229240078,2-3 km
Chamberí,f,40.43815,-3.70218,1,0,0,0,0.0,1,0,128.0,Economic,2.383925946863828,2-3 km
Centro,f,40.42888697204931,-3.7040381665402617,1,0,0,0,4.0,1,0,157.0,Luxury,1.3531997103330575,1-2 km
Salamanca,f,40.43508,-3.6709,0,0,1,1,0.0,1,0,177.0,Luxury,3.4210370161545782,3-5 km
Salamanca,f,40.43326,-3.67281,0,0,1,1,5.0,1,0,177.0,Luxury,3.1712760031014233,3-5 km
Salamanca,f,40.43271416840205,-3.67134968689745,0,0,0,1,0.0,1,0,177.0,Luxury,3.2390994021142596,3-5 km
Puente de Vallecas,f,40.3884257,-3.6698306,1,0,0,0,5.0,2,1,112.0,Economic,4.237375387075283,3-5 km
