neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded
Barajas;38528291;https://www.airbnb.com/rooms/38528291;ESPACIOSA HABITACIÓN MADRID IFEMA AEROPUERTO;1855928;Raquel;3;f;40.46988;-3.59117;50.0;1;0;0;0;0;1;0;11;4.82;1;0
Villaverde;1152716226504250875;https://www.airbnb.com/rooms/1152716226504250875;Habitación amplia + baño privado;176923103;Brahim;1;f;40.35369;-3.70604;45.0;1;0;0;0;0;0;1;2;4.5;1;0
Vicálvaro;1103442405978722074;https://www.airbnb.com/rooms/1103442405978722074;Apartamento Espacioso en Vicálvaro;564927240;Universal;1;f;40.40116184428867;-3.605659785999067;85.0;1;0;0;0;0;0;1;15;4.67;2;1
Carabanchel;942671511464472483;https://www.airbnb.com/rooms/942671511464472483;Casa de Dani 1;527286029;Daniela;2;t;40.377774831371354;-3.732945859524533;31.0;1;0;0;1;0;1;0;11;4.82;1;0
Ciudad Lineal;1080212062570551028;https://www.airbnb.com/rooms/1080212062570551028;Habitación confortable;110581781;Rodrigo;1;f;40.4264449;-3.6401319;40.0;1;0;0;0;0;0;1;2;5.0;1;0
Carabanchel;52453070;https://www.airbnb.com/rooms/52453070;Ambiente Familiar;424163470;Rosa Elvira;2;f;40.381638;-3.730958;35.0;1;0;0;0;0;0;1;77;4.78;1;0
Latina;9600924;https://www.airbnb.com/rooms/9600924;Casa de Campo;44550572;Jose;1;f;40.398121424938445;-3.769089620071228;92.0;1;1;0;0;0;0;1;302;4.75;2;1
Latina;646869426660771948;https://www.airbnb.com/rooms/646869426660771948;"Agradable casa; aparcamiento en los alrededores";179805613;Laura;1;t;40.3977412;-3.7481791;28.0;1;1;0;0;0;1;0;123;4.76;1;0
Centro;32060527;https://www.airbnb.com/rooms/32060527;Double and independent Room in Puerta del Sol;15677715;Alonso;1;f;40.41746;-3.7019;157.0;0;1;0;0;0;1;0;24;5.0;1;0
Chamberí;32075724;https://www.airbnb.com/rooms/32075724;"Cozy appartment in Cea Bermudez; Madrid.";157786404;Sabela;1;f;40.43829;-3.71491;128.0;1;0;1;1;0;1;0;0;0.0;2;0
Usera;839766830800941913;https://www.airbnb.com/rooms/839766830800941913;Habitación privada individual;503694199;Maite;10;f;40.3854648340906;-3.703701719983116;21.0;1;1;0;1;0;0;1;8;4.25;1;0
Ciudad Lineal;726036624942303033;https://www.airbnb.com/rooms/726036624942303033;Habitación individual exterior;232608142;Shay;1;f;40.43058;-3.63428;30.0;1;1;0;0;0;1;0;30;4.87;1;0
Usera;1104820684863358827;https://www.airbnb.com/rooms/1104820684863358827;Domus Regum;565275831;Victoria;1;f;40.38673;-3.69793;26.0;0;0;0;0;0;0;1;0;0.0;1;0
San Blas - Canillejas;1003629395376685756;https://www.airbnb.com/rooms/1003629395376685756;4 rooms  apartment Airprt/Civitas/H.R Caja/Ifema;2536524;Danna Elizabeth;4;f;40.4266992;-3.6163036;122.0;1;0;0;1;0;0;1;21;4.1;2;1
Fuencarral - El Pardo;1028241130950489639;https://www.airbnb.com/rooms/1028241130950489639;Green Suite;547217672;Jose Carlos;2;t;40.48359;-3.68431;89.0;1;0;0;1;0;0;1;48;4.83;2;0
Hortaleza;979453769013547685;https://www.airbnb.com/rooms/979453769013547685;Nuevo y acogedor apartamento en Madrid;503072956;Noelia;1;f;40.48497365805988;-3.670271058098712;210.0;1;1;1;1;0;0;1;38;4.97;2;1
Hortaleza;49353561;https://www.airbnb.com/rooms/49353561;"\"'\"\"Torre Australis” Business Apartament\"";84635442;Jea;1;t;40.48479;-3.67062;171.0;1;1;1;1;0;0;1;31;5.0;2;0
San Blas - Canillejas;913020602632492685;https://www.airbnb.com/rooms/913020602632492685;Piso 2 Hab y 1 baño en San Blas;485046488;Carlos;1;f;40.42841;-3.62546;120.0;1;0;0;0;0;0;1;2;5.0;2;1
Moratalaz;975493900261193874;https://www.airbnb.com/rooms/975493900261193874;"Habitación con terraza; céntrico";536035686;Juan Ángel;4;f;40.4059659;-3.6479761;35.0;1;0;0;0;0;0;1;12;4.67;1;0
Moncloa - Aravaca;34495541;https://www.airbnb.com/rooms/34495541;Apartamento New Yorkino con terraza Chill out bbq;37977951;Pablo;1;f;40.45855;-3.78251;120.0;1;1;0;1;0;1;0;18;4.67;2;1
Latina;15209435;https://www.airbnb.com/rooms/15209435;Flatspain Zoologico;96502620;Es Javier;6;f;40.40307;-3.75896;125.0;1;0;0;1;0;0;1;3;4.67;2;1
Hortaleza;24478591;https://www.airbnb.com/rooms/24478591;Cabrini Hab 10 min aeropuerto Baño Compartido;23441165;Andrea;32;f;40.4652;-3.63651;46.0;0;0;0;0;0;0;1;14;4.71;1;0
Arganzuela;32433396;https://www.airbnb.com/rooms/32433396;Apartamento Acacias;218572090;Apartamento Acacias;1;f;40.40531;-3.70552;141.0;0;0;0;0;0;0;1;42;4.17;2;0
Salamanca;976601355066917351;https://www.airbnb.com/rooms/976601355066917351;Stunning flat next to Puerta de Alcala;207109354;Julio;2;f;40.4206415;-3.689760799999999;190.0;1;0;1;0;0;0;1;1;3.0;2;1
Centro;46118957;https://www.airbnb.com/rooms/46118957;Bonito Apartamento en Embajadores;59485654;Gerard;2;f;40.40822;-3.70308;60.0;1;0;0;0;0;1;0;158;4.59;2;0
Arganzuela;916793451975516716;https://www.airbnb.com/rooms/916793451975516716;Luxury Apartment Atocha Madrid;8780654;Marbelus Realty S.L;6;f;40.40587909928478;-3.692756702075706;157.0;1;1;1;1;0;0;1;32;4.59;2;1
Centro;823844219280739251;https://www.airbnb.com/rooms/823844219280739251;BNBHolder Delightful Centre;430264712;Emilio;59;f;40.408153384438414;-3.7045554091937904;149.0;1;0;0;1;0;0;1;36;4.67;2;0
Moncloa - Aravaca;954066891119343335;https://www.airbnb.com/rooms/954066891119343335;"Alojamiento en Aravaca; Madrid";80276745;Belen;1;f;40.44701;-3.77948;120.0;1;0;0;1;0;0;1;0;0.0;2;0
Centro;878756887461697758;https://www.airbnb.com/rooms/878756887461697758;Justicia Royal;112373304;Daniel;64;t;40.42716706340821;-3.6997428197092495;265.0;1;1;1;1;0;0;1;31;4.84;2;1
Centro;841092046861442293;https://www.airbnb.com/rooms/841092046861442293;BNBHolder Amusing La Latina;430264712;Emilio;59;f;40.4077;-3.7082;214.0;1;0;1;1;0;0;1;23;4.48;2;0
Centro;823707655792290621;https://www.airbnb.com/rooms/823707655792290621;Apartamento moderno en el centro;468824263;Almudena;6;f;40.4089924;-3.7097371;144.0;1;0;0;1;0;1;0;2;5.0;2;0
Centro;32635665;https://www.airbnb.com/rooms/32635665;PISO SOL MADRID CENTRO LUJO;245358620;Francisco Emiliano;1;f;40.41692;-3.70284;157.0;1;0;0;1;0;0;1;41;4.78;2;1
Retiro;13994451;https://www.airbnb.com/rooms/13994451;Nice appartment with terrace by the Retiro park;83572397;Víctor;1;f;40.41821;-3.67733;122.0;1;0;1;1;0;0;1;14;4.71;2;0
Centro;29474954;https://www.airbnb.com/rooms/29474954;Descubre el madrileño Barrio de las Letras desde este loft colorista y moderno;203927823;Hugo;1;t;40.41521;-3.69727;93.0;1;0;0;1;0;0;1;183;4.89;2;0
Centro;35674496;https://www.airbnb.com/rooms/35674496;Habitación en Malasaña;7059146;Diego;5;t;40.42662;-3.70197;51.0;1;1;0;1;0;0;1;122;4.8;1;0
Fuencarral - El Pardo;40857720;https://www.airbnb.com/rooms/40857720;Apartamento Zona Puerta de Hierro con Piscina;314780215;Jdasuites;4;f;40.47728;-3.73546;71.0;1;0;0;1;1;0;1;0;0.0;2;0
Moncloa - Aravaca;52871265;https://www.airbnb.com/rooms/52871265;Encantadora buhardilla con cocina y baño;21365990;Pablo;1;f;40.44925;-3.78941;65.0;1;0;0;1;0;0;1;1;5.0;2;0
Carabanchel;6572976;https://www.airbnb.com/rooms/6572976;"Piso totalmente reformado; proximo al centro";16255963;Jesús;2;t;40.38338;-3.74571;33.0;1;1;0;1;0;0;1;67;4.67;1;0
Moncloa - Aravaca;53601124;https://www.airbnb.com/rooms/53601124;Espectacular bajo con jardín y zona de juegos;25147481;María;1;f;40.46268;-3.7962;443.0;1;1;1;1;0;1;0;11;4.91;2;1
Hortaleza;45132677;https://www.airbnb.com/rooms/45132677;Deluxe B Apartment  Madrid Norte;330794542;Oshun;19;f;40.48781;-3.66702;90.0;1;1;1;1;0;0;1;8;4.0;2;0
Puente de Vallecas;903755016852833696;https://www.airbnb.com/rooms/903755016852833696;Habitación doble en Casa Dani;81665440;Daniel;2;t;40.37358;-3.66624;70.0;1;0;0;1;0;0;1;10;5.0;1;0
Arganzuela;50150240;https://www.airbnb.com/rooms/50150240;Habitación cómoda en Arganzuela;39578012;Carlos;1;f;40.38387;-3.68831;50.0;1;1;1;1;0;1;0;3;5.0;1;0
Puente de Vallecas;1149340762872225726;https://www.airbnb.com/rooms/1149340762872225726;Alojamiento Fantasía;511904097;Juan Manuel;9;f;40.37771;-3.6539;86.0;1;0;0;0;0;0;1;0;0.0;1;0
Puente de Vallecas;967387493642147419;https://www.airbnb.com/rooms/967387493642147419;"100% Clean;Completely Smoke-Free & Soundproof";231394521;Jamil;1;f;40.3844174;-3.6720886;140.0;1;0;0;1;0;0;1;2;5.0;1;1
Centro;54049070;https://www.airbnb.com/rooms/54049070;Studio Downtown Madrid (Lavapies 1);36245009;Christian;2;t;40.40907;-3.70094;45.0;1;0;0;0;0;0;1;34;4.79;2;0
Arganzuela;18847621;https://www.airbnb.com/rooms/18847621;Sunny calm and silence in Madrid city center;12996126;Alfonso;1;t;40.40599;-3.69807;43.0;0;0;1;0;0;1;0;373;4.96;1;0
Usera;938411361220815429;https://www.airbnb.com/rooms/938411361220815429;Sissssy's House I;509598091;马德里欧拉旅社;2;f;40.36798;-3.69734;50.0;1;1;1;1;0;0;1;2;4.5;1;0
Carabanchel;862961153572058056;https://www.airbnb.com/rooms/862961153572058056;Rincón acogedor en Madrid;508489793;Ángela;1;t;40.38055377969899;-3.728383735504394;75.0;1;1;0;1;0;1;0;9;4.78;1;0
