neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded
Centro;660561052442334180;https://www.airbnb.com/rooms/660561052442334180;"Beautiful penthouse with terrace; Las Letras area";390770038;Rightplace;28;f;40.41508;-3.70187;134.0;1;0;1;1;1;0;1;0;0.0;2;1
Centro;1175399673119425602;https://www.airbnb.com/rooms/1175399673119425602;Apartamento en La Latina;549895672;Felipe;1;f;40.40956740574711;-3.711059394653085;199.0;1;0;0;0;0;0;1;0;0.0;2;1
Centro;942557796388381083;https://www.airbnb.com/rooms/942557796388381083;Cozy Duplex in Malasaña;291253690;Fran Y Marta Isabel;289;t;40.42868;-3.70747;114.0;1;0;0;1;0;0;1;29;4.72;2;0
Centro;1958786;https://www.airbnb.com/rooms/1958786;Hi-Fi Apartament Centro Chueca AC;8607804;Pierre & Ely;2;f;40.42515;-3.69927;157.0;1;0;0;1;0;1;0;27;4.74;2;0
Centro;904953591576953524;https://www.airbnb.com/rooms/904953591576953524;Apartamento  con encanto junto a la Plaza Mayor;262418161;Maria;7;t;40.41167568309953;-3.7075866927443943;126.0;1;0;1;1;0;1;0;29;4.97;2;0
Centro;698511457227627416;https://www.airbnb.com/rooms/698511457227627416;Beautiful flat in Barrio de Las Letras CERV. 2-1BA;291253690;Fran Y Marta Isabel;289;t;40.41493;-3.69735;128.0;1;0;0;1;0;0;1;21;4.95;2;0
Centro;1901306;https://www.airbnb.com/rooms/1901306;Cute apartment in Madrid center;9872400;Marta;1;f;40.409671783447266;-3.70320200920105;157.0;1;1;0;0;0;0;1;66;4.77;2;0
Centro;40188940;https://www.airbnb.com/rooms/40188940;Elegant 1 Bedroom Apartment in the heart of Centro;307156616;Stephen;1;f;40.41465;-3.70869;145.0;1;0;0;1;0;0;1;189;4.58;2;0
Centro;24249549;https://www.airbnb.com/rooms/24249549;Elegant 4 bedrooms flat in the very City Center!!;8244614;Mad About You;10;f;40.41252;-3.71059;135.0;1;1;1;0;0;0;1;17;4.41;2;1
Centro;818576817426698495;https://www.airbnb.com/rooms/818576817426698495;Homeclub | Modern duplex  in the center of Madrid;469035350;Home Club;3;f;40.41363;-3.6964;472.0;1;0;1;1;0;0;1;32;4.59;2;1
